Agustin Emanuel,Rodríguez,34146545,1999-03-02,7742
Tiago Nicolás,Goicochea,37595004,1998-02-25,1656
Camila Rocio,Fava,29811653,1998-12-27,3826
Diego Agustin,Valenzuela,25883759,1982-10-31,9525
Marcos Nahuel,Casares,20997798,1992-06-14,4507
Kiara Valentina,Pinedo,22252018,1991-12-15,1273
Joaquin Sebastian,Gómez,20860758,1995-04-26,691
Milagros Jazmin,Galán,35631005,1998-08-28,325
Diego Alejandro,Abadía,28188111,1984-12-23,7574
Rodrigo Gabriel,Sosa,29440924,1985-03-23,2726
Gonzalo Joaquin,Díaz,21861486,1990-08-11,8253
Tiago Benjamin,Sberna,28616407,1983-05-14,3682
Facundo Benjamin,Gutiérrez,28835315,1995-06-18,5070
Antonella Belén,Sotomayor,33066322,1999-01-30,3497
Emilio,De León,32845247,1984-05-23,1860
Ignacio Nahuel,Schapira,31372182,2002-05-16,7569
Alan Leonel,Moreno,35867352,2001-04-23,4165
